gzip	1.12-1ubuntu3.1
half	1.12.0.60403-128~24.04
handlebars	3:4.7.7+~4.1.0-1
hdparm	9.65+ds-1build1
heif-gdk-pixbuf	1.17.6-1ubuntu4.1
heif-thumbnailer	1.17.6-1ubuntu4.1
hicolor-icon-theme	0.17-2
hip-dev	6.4.43484.60403-128~24.04
hip-doc	6.4.43484.60403-128~24.04
hip-runtime-amd	6.4.43484.60403-128~24.04
hip-samples	6.4.43484.60403-128~24.04
hipblas	2.4.0.60403-128~24.04
hipblas-common-dev	1.0.0.60403-128~24.04
hipblas-dev	2.4.0.60403-128~24.04
hipblaslt	0.12.1.60403-128~24.04
hipblaslt-dev	0.12.1.60403-128~24.04
hipcc	1.1.1.60403-128~24.04
hipcub-dev	3.4.0.60403-128~24.04
hipfft	1.0.18.60403-128~24.04
hipfft-dev	1.0.18.60403-128~24.04
hipfort-dev	0.6.0.60403-128~24.04
hipify-clang	19.0.0.60403-128~24.04
hiprand	2.12.0.60403-128~24.04
hiprand-dev	2.12.0.60403-128~24.04
hipsolver	2.4.0.60403-128~24.04
hipsolver-dev	2.4.0.60403-128~24.04
hipsparse	3.2.0.60403-128~24.04
hipsparse-dev	3.2.0.60403-128~24.04
hipsparselt	0.2.3.60403-128~24.04
hipsparselt-dev	0.2.3.60403-128~24.04
hiptensor	1.5.0.60403-128~24.04
hiptensor-dev	1.5.0.60403-128~24.04
hostname	3.23+nmu2ubuntu2
hplip	3.23.12+dfsg0-0ubuntu5
hplip-data	3.23.12+dfsg0-0ubuntu5
hsa-amd-aqlprofile	1.0.0.60403-128~24.04
hsa-rocr	1.15.0.60403-128~24.04
hsa-rocr-dev	1.15.0.60403-128~24.04
htop	3.3.0-4build1
humanity-icon-theme	0.6.16
hunspell-en-us	1:2020.12.07-2
hwdata	0.379-1
i965-va-driver	2.4.1+dfsg1-1build2
ibus	1.5.29-2
ibus-data	1.5.29-2
ibus-gtk	1.5.29-2
ibus-gtk3	1.5.29-2
ibus-gtk4	1.5.29-2
ibus-table	1.17.4-2
ibus-table-cangjie-big	1.8.12-1
ibus-table-cangjie3	1.8.12-1
ibus-table-cangjie5	1.8.12-1
ibverbs-providers	50.0-2ubuntu0.2
icu-devtools	74.2-1ubuntu3.1
ieee-data	20220827.1
iio-sensor-proxy	3.5-1build2
im-config	0.57-2
imagemagick	8:6.9.12.98+dfsg1-5.2build2
imagemagick-6-common	8:6.9.12.98+dfsg1-5.2build2
imagemagick-6.q16	8:6.9.12.98+dfsg1-5.2build2
inetutils-telnet	2:2.5-3ubuntu4
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
initramfs-tools	0.142ubuntu25.5
initramfs-tools-bin	0.142ubuntu25.5
initramfs-tools-core	0.142ubuntu25.5
inputattach	1:1.8.1-2build1
install-info	7.1-3build2
intel-media-va-driver	24.1.0+dfsg1-1ubuntu0.1
intel-microcode	3.20250812.0ubuntu0.24.04.1
ipp-usb	0.9.24-0ubuntu3.3
iproute2	6.1.0-1ubuntu6.2
iptables	1.8.10-3ubuntu2
iputils-ping	3:20240117-1ubuntu0.1
iputils-tracepath	3:20240117-1ubuntu0.1
iso-codes	4.16.0-1
iucode-tool	2.3.1-3build1
java-common	0.75+exp1
javascript-common	11+nmu1
jp2a	1.1.1-2ubuntu2
jq	1.7.1-3ubuntu0.24.04.1
just	1.21.0-1
kbd	2.6.4-2ubuntu2
kerneloops	0.12+git20140509-6ubuntu8
keyboard-configuration	1.226ubuntu1
keyboxd	2.4.4-2ubuntu17.3
klibc-utils	2.0.13-4ubuntu0.1
kmod	31+20240202-2ubuntu7.1
krb5-locales	1.20.1-6ubuntu2.6
language-pack-en	1:24.04+20250724
language-pack-en-base	1:24.04+20250724
language-pack-gnome-en	1:24.04+20250724
language-pack-gnome-en-base	1:24.04+20250724
language-selector-common	0.225
language-selector-gnome	0.225
laptop-detect	0.16
latexmk	1:4.83-1
ldap-utils	2.6.7+dfsg-1~exp1ubuntu8.2
less	590-2ubuntu2.1
lib32asan8	14.2.0-4ubuntu2~24.04
lib32atomic1	14.2.0-4ubuntu2~24.04
lib32gcc-13-dev	13.3.0-6ubuntu2~24.04
lib32gcc-s1	14.2.0-4ubuntu2~24.04
lib32gomp1	14.2.0-4ubuntu2~24.04
lib32itm1	14.2.0-4ubuntu2~24.04
lib32quadmath0	14.2.0-4ubuntu2~24.04
lib32stdc++-13-dev	13.3.0-6ubuntu2~24.04
lib32stdc++6	14.2.0-4ubuntu2~24.04
lib32ubsan1	14.2.0-4ubuntu2~24.04
liba52-0.7.4	0.7.4-20build1
libaa1	1.4p5-51.1
libaacs0	0.11.1-2build1
libabsl20220623t64	20220623.1-3.1ubuntu3.2
libaccountsservice0	23.13.9-2ubuntu6
libacl1	2.3.2-1build1.1
libadwaita-1-0	1.5.0-1ubuntu2
libaec0	1.1.2-1build1
libaio1t64	0.3.113-6build1.1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-8build3
libalgorithm-merge-perl	0.08-5
libamd-comgr2	6.0+git20231212.4510c28+dfsg-3build2
libamd3	1:7.6.1+dfsg-1build1
libamdhip64-5	5.7.1-3
libao-common	1.2.2+20180113-1.1ubuntu4
libao4	1.2.2+20180113-1.1ubuntu4
libaom3	3.8.2-2ubuntu0.1
libapache-pom-java	29-2
libapparmor1	4.0.1really4.0.1-0ubuntu0.24.04.4
libappstream5	1.0.2-1build6
libapt-pkg6.0t64	2.8.3
libarchive-zip-perl	1.68-1
libarchive13t64	3.7.2-2ubuntu0.5
libargon2-1	0~20190702+dfsg-4build1
libarmadillo12	1:12.6.7+dfsg-1build2
libarpack2t64	3.9.1-1.1build2
libasan6	11.5.0-1ubuntu1~24.04
